,2,0,1,3,4
2006-01-01,900.0,900.0,1100.0,900.0,1100.0
2006-01-02,900.0,900.0,1100.0,900.0,1100.0
2006-01-03,900.0,900.0,1000.0,900.0,1100.0
2006-01-04,900.0,900.0,900.0,1000.0,1100.0
2006-01-05,700.0,900.0,1000.0,1000.0,1100.0
2006-01-06,700.0,900.0,900.0,1000.0,1100.0
2006-01-07,700.0,900.0,900.0,1000.0,1100.0
2006-01-08,700.0,900.0,900.0,1000.0,1100.0
2006-01-09,700.0,900.0,900.0,1000.0,1100.0
2006-01-10,700.0,900.0,900.0,1000.0,1100.0
2006-01-11,700.0,900.0,900.0,1000.0,1100.0
2006-01-12,700.0,900.0,900.0,1000.0,1100.0
2006-01-13,700.0,900.0,900.0,1000.0,1100.0
2006-01-14,700.0,848.148148148,900.0,1000.0,1100.0
2006-01-15,700.0,751.851851852,900.0,1000.0,1100.0
2006-01-16,700.0,700.0,900.0,1000.0,1100.0
2006-01-17,700.0,700.0,900.0,1000.0,1100.0
2006-01-18,700.0,700.0,900.0,1000.0,1100.0
2006-01-19,700.0,700.0,900.0,1000.0,1100.0
2006-01-20,700.0,700.0,900.0,1000.0,1100.0
2006-01-21,700.0,700.0,900.0,1000.0,1100.0
2006-01-22,700.0,700.0,900.0,1000.0,1100.0
2006-01-23,700.0,700.0,900.0,1000.0,1100.0
2006-01-24,700.0,700.0,800.0,900.0,1100.0
2006-01-25,700.0,700.0,800.0,900.0,1100.0
2006-01-26,700.0,700.0,800.0,900.0,1100.0
2006-01-27,700.0,700.0,800.0,900.0,1100.0
2006-01-28,700.0,700.0,800.0,900.0,1100.0
2006-01-29,700.0,700.0,800.0,900.0,1100.0
2006-01-30,700.0,700.0,800.0,900.0,1100.0
2006-01-31,600.0,700.0,700.0,900.0,1100.0
2006-02-01,600.0,700.0,700.0,900.0,1100.0
2006-02-02,600.0,700.0,700.0,900.0,1100.0
2006-02-03,600.0,700.0,700.0,900.0,1100.0
2006-02-04,600.0,700.0,700.0,874.074074074,1100.0
2006-02-05,600.0,700.0,700.0,825.925925926,1100.0
2006-02-06,600.0,700.0,700.0,800.0,1100.0
2006-02-07,500.0,700.0,700.0,800.0,900.0
2006-02-08,500.0,700.0,700.0,600.0,700.0
2006-02-09,500.0,650.0,700.0,600.0,700.0
2006-02-10,500.0,600.0,700.0,600.0,700.0
2006-02-11,500.0,600.0,700.0,600.0,700.0
2006-02-12,500.0,600.0,700.0,600.0,700.0
2006-02-13,500.0,600.0,700.0,600.0,700.0
2006-02-14,500.0,600.0,700.0,600.0,700.0
2006-02-15,500.0,600.0,700.0,600.0,700.0
2006-02-16,500.0,600.0,700.0,600.0,700.0
2006-02-17,500.0,600.0,700.0,600.0,700.0
2006-02-18,500.0,600.0,700.0,600.0,700.0
2006-02-19,500.0,600.0,700.0,600.0,700.0
2006-02-20,500.0,600.0,700.0,600.0,700.0
2006-02-21,500.0,600.0,700.0,600.0,700.0
2006-02-22,500.0,700.0,700.0,600.0,700.0
2006-02-23,500.0,700.0,700.0,600.0,700.0
2006-02-24,500.0,700.0,700.0,600.0,700.0
2006-02-25,500.0,700.0,700.0,600.0,700.0
2006-02-26,500.0,700.0,700.0,600.0,700.0
2006-02-27,500.0,700.0,700.0,600.0,700.0
2006-02-28,700.0,700.0,700.0,600.0,700.0
2006-03-01,700.0,700.0,800.0,600.0,700.0
2006-03-02,700.0,700.0,700.0,700.0,700.0
2006-03-03,700.0,700.0,800.0,600.0,700.0
2006-03-04,700.0,700.0,800.0,600.0,700.0
2006-03-05,700.0,700.0,800.0,600.0,700.0
2006-03-06,700.0,700.0,800.0,600.0,700.0
2006-03-07,700.0,700.0,800.0,600.0,700.0
2006-03-08,700.0,700.0,700.0,600.0,700.0
2006-03-09,700.0,700.0,700.0,500.0,700.0
2006-03-10,700.0,700.0,700.0,500.0,700.0
2006-03-11,674.074074074,700.0,700.0,500.0,648.148148148
2006-03-12,625.925925926,700.0,700.0,500.0,551.851851852
2006-03-13,600.0,700.0,700.0,500.0,500.0
2006-03-14,600.0,700.0,700.0,500.0,500.0
2006-03-15,600.0,700.0,750.0,500.0,500.0
2006-03-16,600.0,700.0,800.0,500.0,500.0
2006-03-17,500.0,700.0,800.0,500.0,500.0
