"","ArrivalcData.fcst","ArrivalcData.lower","ArrivalcData.upper","ArrivalcData.CI","V5"
"1",8194.92751556337,7724.91994514205,8664.93508598468,470.007570421315,8119.62793298
"2",8244.31807694848,7541.07039238493,8947.56576151203,703.24768456355,8033.89087525
"3",8361.02698709239,7469.74801996975,9252.30595421502,891.278967122632,7678.47875855
"4",8453.14211033171,7402.06935903286,9504.21486163056,1051.07275129885,8010.64159074
"5",8341.24175107153,7130.85162390291,9551.63187824014,1210.39012716861,8416.71604531
"6",8310.43525835708,6979.99381630209,9640.87670041207,1330.44144205499,8429.9405726
"7",8457.28987769477,7036.63553906499,9877.94421632455,1420.65433862978,8397.12182959
"8",8326.93753728677,6807.50301274523,9846.3720618283,1519.43452454153,8515.47891898
"9",8143.5858527799,6552.8358843868,9734.335821173,1590.7499683931,8251.58839645
"10",8233.60530240755,6588.00700552826,9879.20359928685,1645.59829687929,7958.98994359
"11",8629.8506687089,6935.96476150892,10323.7365759089,1693.88590719998,7788.84461778
"12",8705.59756264259,6966.96361732996,10444.2315079552,1738.63394531263,7990.06533541
"13",8751.08760328655,6978.84294475891,10523.3322618142,1772.24465852764,8005.36329069
"14",9054.69939515233,7254.82473235234,10854.5740579523,1799.87466279998,7860.92818526
"15",9119.23071444829,7284.8196542726,10953.641774624,1834.41106017569,7433.05776056
"16",8901.61508055922,7031.94755905102,10771.2826020674,1869.6675215082,6904.50339248
"17",8872.03096243086,6971.79300182185,10772.2689230399,1900.237960609,6679.79627349
"18",9039.68335047362,7115.45668007257,10963.9100208747,1924.22667040105,6467.11677036
"19",8958.35834916412,7010.83659859645,10905.8800997318,1947.52175056767,6675.76786764
"20",8973.08945031474,7002.92662558144,10943.252275048,1970.1628247333,6687.03881862
"21",9215.38606500542,7221.42732153841,11209.3448084724,1993.95874346701,6594.08697614
"22",9259.41807714732,7229.90489856695,11288.9312557277,2029.51317858037,6771.36871265
"23",9082.11441615726,7010.38726105951,11153.841571255,2071.72715509774,7376.4128843
"24",9118.0038465736,7006.25717250537,11229.7505206418,2111.74667406823,7452.95783306
"25",9213.4315115433,7062.18229417725,11364.6807289093,2151.24921736605,7400.68345532
"26",9126.9332736374,6940.81413158062,11313.0524156942,2186.11914205678,8297.76566128
"27",9109.75366054512,6897.1597807835,11322.3475403067,2212.59387976161,7273.07690644
"28",9327.51164144481,7087.85374627406,11567.1695366156,2239.65789517075,7665.19998558
"29",9351.73127548969,7063.6486979062,11639.8138530732,2288.0825775835,8356.1999875
"30",9272.190894682,6933.80456722789,11610.5772221361,2338.38632745411,8750.87998917
"31",9330.94426745736,6945.75327350282,11716.1352614119,2385.19099395454,8446.46932395
"32",9419.64808284398,6986.84651626334,11852.4496494246,2432.80156658064,8118.04674742
"33",9345.54939262127,6864.64966526711,11826.4491199754,2480.89972735416,8422.3071811
"34",9323.38822976762,6803.58178825403,11843.1946712812,2519.80644151359,8689.81289028
"35",9444.11097180149,6889.29645129546,11998.9254923075,2554.81452050603,8567.25117158
"36",9400.31553187463,6806.25370972467,11994.3773540246,2594.06182214996,8980.69768204
"37",9250.66036812187,6622.97842633614,11878.3423099076,2627.68194178573,8942.92465776
"38",9280.52934794303,6625.11746288449,11935.9412330016,2655.41188505854,8520.7747034
"39",9397.2689449442,6716.20032965107,12078.3375602373,2681.06861529313,7719.43140961
"40",9353.99684408912,6648.88992457953,12059.1037635987,2705.10691950958,8153.33388833
"41",9378.50097800791,6654.05803894314,12102.9439170727,2724.44293906477,8133.14270322
"42",9565.03876841319,6821.70334176157,12308.3741950648,2743.33542665161,8369.44367612
"43",9600.36625418735,6832.66518733948,12368.0673210352,2767.70106684786,8821.37118597
"44",9473.55020085032,6679.74576264534,12267.3546390553,2793.80443820498,8024.56169451
"45",9479.62882891209,6662.21403892975,12297.0436188944,2817.41478998233,7659.75346858
"46",9540.5315212517,6701.63275696384,12379.4302855396,2838.89876428786,7137.7330061
"47",9446.9399861135,6587.43355724048,12306.4464149865,2859.50642887302,8188.59527195
"48",9438.22369963379,6560.85705371007,12315.5903455575,2877.36664592372,8605.99590236
"49",9591.96759375238,6696.16174208235,12487.7734454224,2895.80585167004,9014.72978204
"50",9618.32651249772,6698.1964712844,12538.456553711,2920.13004121332,9338.53914444
"51",9512.59804891707,6564.9608807305,12460.2352171036,2947.63716818656,8798.60059185
"52",9547.13832336517,6572.97737923329,12521.299267497,2974.16094413188,9189.3071796
"53",9608.25340373381,6607.47576455169,12609.0310429159,3000.77763918212,8723.82622232
"54",9533.61149571492,6507.73894949087,12559.484041939,3025.87254622405,9279.16939268
"55",9519.42674347493,6472.70109017628,12566.1523967736,3046.72565329865,9899.81347365
"56",9627.13164405069,6559.60368669701,12694.6596014044,3067.52795735368,9927.13167717
"57",9621.06892136937,6527.95335369159,12714.1844890472,3093.11556767778,9595.99412021
"58",9528.28122190145,6409.65024071579,12646.9122030871,3118.63098118566,9195.76823752
"59",9552.85877724438,6410.91872519164,12694.7988292971,3141.94005205274,8248.07913918
"60",9604.96855185849,6439.74794843126,12770.1891552857,3165.22060342723,7664.24192062
"61",9553.22906479659,6365.6477787628,12740.8103508304,3187.58128603379,6896.84966454
"62",9557.68069552997,6351.03606585285,12764.3253252071,3206.64462967712,6913.26970927
"63",9654.59995798785,6429.04061472101,12880.1593012547,3225.55934326684,6955.3004147
