"Date","WS","RT","ARR"
"2006-01-01",5.7333333333,11,63.1
"2006-01-02",5.7234074074,11,104.012
"2006-01-03",5.6731753086,10.8666666667,188.257066667
"2006-01-04",5.6447519342,10.6177777778,250.866791111
"2006-01-05",5.6328590837,10.5354074074,339.844552296
"2006-01-06",5.6051445392,10.3306864198,314.725278657
"2006-01-07",5.5682681244,10.3306864198,296.875241503
"2006-01-08",5.5724990412,10.3306864198,290.531875969
"2006-01-09",5.5498325024,10.1532615638,284.19562584
"2006-01-10",5.5311881687,9.9994933553,276.588209061
"2006-01-11",5.5043630796,9.9994933553,264.516447853
"2006-01-12",5.4534109652,9.8662275746,256.122254806
"2006-01-13",5.3985561699,9.7507305646,246.491287498
"2006-01-14",5.3798597917,9.7507305646,230.531115832
"2006-01-15",5.3542118194,9.7507305646,227.289633721
"2006-01-16",5.2974597673,9.650633156,219.633682558
"2006-01-17",5.2433540206,9.5638820686,218.07719155
"2006-01-18",5.2261660771,9.4886977927,213.550899344
"2006-01-19",5.2065106001,9.423538087,209.850779431
"2006-01-20",5.1763091868,9.3670663421,233.21200884
"2006-01-21",5.1161346286,9.3670663421,231.902407662
"2006-01-22",5.0673166781,9.3670663421,231.200753307
"2006-01-23",5.0416744543,9.3181241632,223.276652866
"2006-01-24",4.9942130985,9.1423742747,213.291765817
"2006-01-25",4.963556114,8.9900577048,208.207530375
"2006-01-26",4.8884152988,8.9900577048,181.193192992
"2006-01-27",4.8447747404,8.8580500108,183.714100593
"2006-01-28",4.8076936639,8.8580500108,182.324220514
"2006-01-29",4.7644456198,8.8580500108,181.427657778
"2006-01-30",4.7225195372,8.7436433427,195.866636741
"2006-01-31",4.6728502656,8.5111575637,199.923085176
"2006-02-01",4.6231368968,8.3096698885,193.986673819
"2006-02-02",4.5876710249,8.1350472367,206.21111731
"2006-02-03",4.5946482216,7.9837076052,204.501635002
"2006-02-04",4.6111951253,7.9837076052,202.208083668
"2006-02-05",4.5313691086,7.9837076052,187.088339179
"2006-02-06",4.4913532275,7.8525465911,534.564560622
"2006-02-07",4.4628765009,7.7388737123,524.359952539
"2006-02-08",4.4244929674,7.6403572173,673.4212922
"2006-02-09",4.3812272384,7.6403572173,768.279786574
