"","objSampleTimeSeries..i...fcst","objSampleTimeSeries..i...lower","objSampleTimeSeries..i...upper","objSampleTimeSeries..i...CI","V5"
"1",3795.4871552141,3291.37293803005,4299.60137239815,504.11421718405,3718.41245942
"2",3563.35088815465,2805.70590320641,4320.99587310288,757.644984948236,3481.2241315
"3",3556.21710430286,2587.33453716042,4525.09967144531,968.882567142448,3644.24758063
"4",3788.44889399392,2646.0751254414,4930.82266254644,1142.37376855252,3665.06790321
"5",4071.63544271645,2769.20258720193,5374.06829823096,1302.43285551451,3932.16551612
"6",4227.91731829959,2807.0176285394,5648.81700805978,1420.89968976019,3781.73011397
"7",4319.54727919251,2810.02196833281,5829.07259005222,1509.52531085971,4219.20609877
"8",4456.72540914445,2860.75256110325,6052.69825718564,1595.97284804119,4518.15195227
"9",4362.66507827237,2701.21044199145,6024.11971455329,1661.45463628092,5313.5050253
"10",4158.36975475501,2448.18692177035,5868.55258773967,1710.18283298466,5941.77102193
"11",4243.14632209047,2494.64237431124,5991.6502698697,1748.50394777923,5889.17488567
"12",4385.42056557192,2604.54575335967,6166.29537778417,1780.87481221225,7397.80490091
"13",4241.41928387406,2434.85777150553,6047.9807962426,1806.56151236854,7096.29758079
"14",4354.48726395856,2524.60760207334,6184.36692584378,1829.87966188522,7189.99123669
"15",4615.12527574686,2754.2914673046,6475.95908418911,1860.83380844225,7663.3390718
"16",4389.73815531085,2497.82213358983,6281.65417703187,1891.91602172102,7544.34719556
"17",4122.62246435896,2201.26206442059,6043.98286429733,1921.36039993837,7086.86090281
"18",4179.93483812721,2232.95678472073,6126.9128915337,1946.97805340649,6607.85278244
"19",4357.10010347397,2388.04052225532,6326.15968469263,1969.05958121866,6536.47241145
"20",4450.93931665011,2458.54411801749,6443.33451528274,1992.39519863262,6122.79608992
"21",4612.72175716248,2598.56947868535,6626.8740356396,2014.15227847713,6388.6899446
"22",4729.49517370728,2685.51447033901,6773.47587707555,2043.98070336827,5699.61128532
"23",4581.14870619262,2502.85454118014,6659.4428712051,2078.29416501248,5716.60978061
"24",4182.76948891308,2072.59404301435,6292.9449348118,2110.17544589873,5362.86180986
"25",4309.14184927898,2166.73258379948,6451.55111475848,2142.4092654795,5230.16023521
"26",4431.86505094637,2259.58897404204,6604.14112785069,2172.27607690433,5911.43220385
"27",4404.42668116213,2207.22240547202,6601.63095685224,2197.20427569011,6019.32124334
"28",4412.03664076915,2189.74098222219,6634.33229931611,2222.29565854696,6072.03841089
"29",4352.3819583982,2091.98473165323,6612.77918514317,2260.39722674497,6166.29995611
"30",4236.95268110746,1940.42849694095,6533.47686527398,2296.52418416652,6140.96662863
"31",4106.8756463507,1775.71131289233,6438.03997980907,2331.16433345837,5884.26441148
"32",4293.42195755857,1927.42712692063,6659.41678819651,2365.99483063794,5597.94915661
"33",4530.83143618958,2133.00786495605,6928.6550074231,2397.82357123353,5875.27593573
"34",4599.71544315535,2176.33357398491,7023.09731232579,2423.38186917044,6080.85247763
"35",4600.9911196449,2157.10440697862,7044.87783231117,2443.88671266627,5990.75214728
"36",4885.91780660807,2413.12273272421,7358.71288049194,2472.79507388386,5954.63852764
"37",4823.12609966474,2327.33387100467,7318.91832832481,2495.79222866007,6035.54005729
"38",4665.29488230723,2150.73057037284,7179.85919424163,2514.5643119344,5485.33471632
"39",4815.10100798552,2282.63926575239,7347.56275021864,2532.46174223313,5027.58342081
"40",4830.42351178474,2281.96560564712,7378.88141792236,2548.45790613762,4674.6789647
"41",4874.10441143014,2313.11816492778,7435.09065793249,2560.98624650235,4168.76176941
"42",4954.35718573213,2380.31247255456,7528.4018989097,2574.04471317757,3660.56686682
"43",4965.71974494939,2374.08264142199,7557.35684847679,2591.6371035274,3366.30461791
"44",4699.64372851108,2088.71576494376,7310.5716920784,2610.92796356732,2935.13066886
"45",4449.1016019987,1819.92005728709,7078.28314671031,2629.18154471161,2638.80657968
"46",4521.3931507031,1874.77692280501,7168.00937860119,2646.61622789809,2540.27236905
"47",4661.14996651584,1995.37121340269,7326.92871962899,2665.77875311315,2467.96938651
"48",4733.90177178624,2052.15406335326,7415.64948021921,2681.74770843297,2718.53346831
"49",4813.21562496345,2114.63470613232,7511.79654379458,2698.58091883113,3176.27567254
"50",4957.68576763874,2232.53208525208,7682.8394500254,2725.15368238666,3442.1189162
"51",4807.73118113923,2055.62898438823,7559.83337789024,2752.102196751,3875.72972737
"52",4680.44291300091,1906.37382638301,7454.51199961882,2774.0690866179,3925.53909706
"53",4795.93867364121,2003.23992956827,7588.63741771415,2792.69874407294,3968.76055078
